Date,MSCI ACWI
04/2023,169300.4023312995
05/2023,172283.20909856784
06/2023,179290.9694643843
07/2023,183259.95072121927
08/2023,180753.44790209792
09/2023,177826.56405512552
10/2023,172113.4662020906
11/2023,182712.4847314976
12/2023,189489.92823529412
01/2024,194388.7699732398
02/2024,203008.10096065028
03/2024,209784.9669595782
04/2024,204714.16407911925
05/2024,210525.73606708445
06/2024,218246.924614666
07/2024,219307.09571481345
08/2024,219838.04009791327
09/2024,223100.8718491537
10/2024,224200.19161850028
11/2024,239071.24123799056
12/2024,238077.88000062917
01/2025,245110.87756114788
02/2025,243528.40992041214
03/2025,225203.34250283855
04/2025,215995.89159027548
05/2025,228712.64301326196
06/2025,231123.7754775125
07/2025,240255.21266060794
08/2025,240729.14674660706
