Date,iShares Core MSCI World UCITS ETF USD (Acc)
11/2005,191827.76426283075
12/2005,195580.2768022978
01/2006,198868.8141613713
02/2006,202603.0323372891
03/2006,203106.8877099245
04/2006,202011.6925667154
05/2006,190058.717168346
06/2006,192287.87983205976
07/2006,192637.48296083024
08/2006,196313.8426655384
09/2006,201618.98651689864
10/2006,208392.67174145507
11/2006,205309.42927827567
12/2006,209926.54613953803
01/2007,215911.5069732833
02/2007,210573.62929121192
03/2007,212670.3861036293
04/2007,217329.91100228275
05/2007,225907.50370267665
06/2007,223264.2246368797
07/2007,215065.1114700033
08/2007,214897.51303952275
09/2007,217555.60057849623
10/2007,220032.5664758928
11/2007,206512.643582964
12/2007,204367.81952036507
01/2008,186824.787292706
02/2008,182075.11109253063
03/2008,172943.57627700947
04/2008,185190.45199671504
05/2008,188371.3902785458
06/2008,170500.9813981782
07/2008,167936.69005668664
08/2008,175393.38691022983
09/2008,159170.64120665763
10/2008,144597.49407367132
11/2008,135532.57113471164
12/2008,127897.552596449
01/2009,126696.57076382976
02/2009,115253.98000653413
03/2009,117741.70973426188
04/2009,131255.79897074483
05/2009,134769.89721190775
06/2009,133797.71491949106
07/2009,145066.61480234948
08/2009,149608.9215947174
09/2009,151605.530225091
10/2009,147303.3967225982
11/2009,151022.16733565432
12/2009,160293.2533015383
01/2010,158482.7813883369
02/2010,165380.50605079197
03/2010,176780.70615761477
04/2010,178953.7477469815
05/2010,175035.4276849417
06/2010,169500.85363087445
07/2010,172567.11317299592
08/2010,170654.78838577078
09/2010,173306.66403071926
10/2010,177026.52969513458
11/2010,184621.6960250013
12/2010,192766.1532603072
01/2011,192338.010956525
02/2011,196996.8700493496
03/2011,189900.2220454637
04/2011,189236.6225085852
05/2011,191398.3698682836
06/2011,187452.3361507533
07/2011,186513.2110778941
08/2011,171061.30700988145
09/2011,167218.916240408
10/2011,177924.62884786836
11/2011,181092.7499188664
12/2011,187662.25257567145
01/2012,193503.53151185124
02/2012,198892.6373252413
03/2012,202728.7671559933
04/2012,202546.62503900105
05/2012,197128.9733194548
06/2012,204063.73389591207
07/2012,211801.7240481224
08/2012,211504.7703081255
09/2012,211918.83735810063
10/2012,209430.8613715936
11/2012,212192.03271277543
12/2012,212739.14431831177
01/2013,217666.4780244263
02/2013,224980.9228370079
03/2013,236039.1850642624
04/2013,238459.9162070305
05/2013,239720.77953121337
06/2013,232451.1977598383
07/2013,241055.74758050143
08/2013,236597.75491202163
09/2013,243424.42564894925
10/2013,250390.4111741785
11/2013,255360.20091489115
12/2013,257317.492708574
01/2014,252785.52088023032
02/2014,259690.7387577438
03/2014,260494.8349849536
04/2014,261942.611895619
05/2014,271822.5763825551
06/2014,275606.7605918038
07/2014,276818.0255996057
08/2014,286969.07078155025
09/2014,292555.80538378644
10/2014,295786.7216365842
11/2014,302656.18951201614
12/2014,306113.4411289947
01/2015,322742.52992780873
02/2015,343573.5295393361
03/2015,353257.76994150097
04/2015,346783.4190269774
05/2015,355691.83924224525
06/2015,340561.8960038597
07/2015,353635.8087563449
08/2015,322872.6348040232
09/2015,311242.90743946005
10/2015,341526.3770799779
11/2015,353839.90006200835
12/2015,337726.9677616357
01/2016,316506.84562653746
02/2016,315021.812460978
03/2016,321661.21202570444
04/2016,326181.6653135761
05/2016,335281.80811266747
06/2016,333021.8097603364
07/2016,346692.3845211165
08/2016,346330.5108903918
09/2016,347207.8222309256
10/2016,347118.2787609169
11/2016,362348.4411155401
12/2016,374267.0289702433
01/2017,375610.8310381454
02/2017,391724.6843118489
03/2017,392351.12236157735
04/2017,389388.8418601796
05/2017,387249.41867557366
06/2017,382168.571559925
07/2017,380739.9608297481
08/2017,378052.79738444806
09/2017,387096.977248943
10/2017,400041.5370007964
11/2017,401364.7252693965
12/2017,401841.3600179155
01/2018,407233.4934135125
02/2018,398061.353190324
03/2018,385937.1376541677
04/2018,398128.6535812329
05/2018,413569.9887203904
06/2018,414757.5412921246
07/2018,424800.09141027904
08/2018,433122.7774941455
09/2018,438284.06981665903
10/2018,415286.1010646948
11/2018,418418.4752280533
12/2018,383460.4572279001
01/2019,411864.93141733017
02/2019,426856.72286828666
03/2019,439359.2559866058
04/2019,455554.829103076
05/2019,431772.2052283241
06/2019,450890.7204593749
07/2019,462354.46795582445
08/2019,457539.5403266071
09/2019,473508.3770307858
10/2019,473942.9886687295
11/2019,494693.0565129664
12/2019,498001.372756572
01/2020,503038.1644509347
02/2020,463581.3673452506
03/2020,402923.4739225196
04/2020,450160.9091259489
05/2020,460814.4097112732
06/2020,470307.7376045422
07/2020,465693.3128156912
08/2020,492902.6635392992
09/2020,485245.9600038402
10/2020,470682.23717214697
11/2020,518289.8272229408
12/2020,527365.1680434109
01/2021,527844.0687845584
02/2021,541951.6948315499
03/2021,578806.0989639687
04/2021,587748.7784462508
05/2021,590302.5466160547
06/2021,614983.2278340129
07/2021,625528.3487899115
08/2021,644080.3820059128
09/2021,630825.8548341066
10/2021,662673.2249643366
11/2021,664127.0856270371
12/2021,694663.5748974195
01/2022,667818.0564192542
02/2022,648317.4640362548
03/2022,671881.9070336309
04/2022,648745.0307169108
05/2022,638644.0032771326
06/2022,601524.7922826395
07/2022,661216.5782772731
08/2022,646007.0656708563
09/2022,600994.4726455521
10/2022,633267.73280208
11/2022,647036.2830551638
12/2022,602605.2486466763
01/2023,635195.8256378361
02/2023,632313.9069020022
03/2023,636402.085051778
04/2023,641200.9135478099
05/2023,652400.2801343641
06/2023,680095.35596663
07/2023,692816.3583088606
08/2023,685797.4335903582
09/2023,673071.0225148005
10/2023,651890.531771233
11/2023,692546.8786832641
12/2023,718607.1685487685
01/2024,741404.6469274363
02/2024,773500.1484231965
03/2024,799335.2389676557
04/2024,776189.1117657177
05/2024,800705.8851758706
06/2024,828084.0165450805
07/2024,829719.5490300097
08/2024,827614.2359377071
09/2024,838610.5820065931
10/2024,848841.3596782782
11/2024,911765.8621436678
12/2024,901195.7984777687
01/2025,941127.1501044986
02/2025,918029.6035753116
03/2025,845413.7011726286
04/2025,812198.4723031613
05/2025,863943.9362412419
06/2025,871312.5320643007
07/2025,913375.295705965
08/2025,909851.9411506653
09/2025,932558.0038403745
10/2025,972924.3375109687
