Date,iShares Core MSCI EMU UCITS ETF EUR (Acc)
07/2006,65242.25503000454
08/2006,67290.31275545903
09/2006,69408.07649429743
10/2006,71883.1325931548
11/2006,72029.88676640886
12/2006,74706.66345562131
01/2007,76440.73117717491
02/2007,74993.23043227567
03/2007,77200.6736098968
04/2007,81097.10690835565
05/2007,84124.46780263961
06/2007,83465.10409122235
07/2007,80308.44320782009
08/2007,79484.16152191121
09/2007,81297.05630948984
10/2007,83672.49369532702
11/2007,80277.7404021713
12/2007,79805.89923968476
01/2008,69669.0929520251
02/2008,69224.04321682916
03/2008,67458.92369578537
04/2008,71517.48513190818
05/2008,72177.19573833056
06/2008,63555.61730614502
07/2008,62579.970888379634
08/2008,63309.193914855656
09/2008,55148.43114457041
10/2008,47021.82144132084
11/2008,44036.12837082458
12/2008,44204.99196410274
01/2009,41243.19302325217
02/2009,36913.179066820834
03/2009,38119.06017394794
04/2009,44193.00406793571
05/2009,46491.43690566635
06/2009,45129.78182969346
07/2009,49945.70293472075
08/2009,52866.79524007979
09/2009,54761.12550558301
10/2009,52276.82267708424
11/2009,53226.012743239735
12/2009,56053.256202706885
01/2010,53380.98846598561
02/2010,52948.25309481032
03/2010,57000.36193651825
04/2010,55298.550626656455
05/2010,51963.40750738605
06/2010,51428.936109481445
07/2010,54750.64379513939
08/2010,52792.099148748544
09/2010,55458.72518267441
10/2010,57660.976624465504
11/2010,54746.91873092573
12/2010,57793.54201556605
01/2011,60250.391914976935
02/2011,61239.17049258079
03/2011,59657.07206174906
04/2011,61798.26587856138
05/2011,60419.416748683456
06/2011,60093.31567090406
07/2011,56938.78800681017
08/2011,48992.688600078174
09/2011,46018.49493510324
10/2011,50093.808175988335
11/2011,49236.08587682773
12/2011,49092.66037064968
01/2012,51219.59654871521
02/2012,53468.65247913651
03/2012,53516.63680052082
04/2012,51002.827874120325
05/2012,47181.67847136294
06/2012,50698.12078490076
07/2012,51892.46283167466
08/2012,53821.32202851684
09/2012,54240.46394375474
10/2012,55267.9673149716
11/2012,57050.39204650436
12/2012,58266.159433023946
01/2013,60167.44127835005
02/2013,59314.27811733697
03/2013,59788.515826433846
04/2013,61892.76889925866
05/2013,63121.49492662715
06/2013,59505.62114525246
07/2013,63687.18203447608
08/2013,62748.18247251278
09/2013,66905.82907642642
10/2013,70123.90852500046
11/2013,71297.65923548937
12/2013,71788.49503660365
01/2014,70087.9819732549
02/2014,73590.3679392808
03/2014,73782.81023799448
04/2014,74676.47768651007
05/2014,76683.78695159555
06/2014,76013.38051147271
07/2014,73266.45019022172
08/2014,74349.21538185711
09/2014,75334.99042659438
10/2014,73158.91533238885
11/2014,76511.80937526093
12/2014,74611.19815630272
01/2015,80239.18338842828
02/2015,86046.29823336715
03/2015,88654.29965111103
04/2015,87438.68815877556
05/2015,87827.98187276004
06/2015,84056.10676303056
07/2015,89018.46788199416
08/2015,80833.47091512824
09/2015,76872.52537157314
10/2015,84851.08833868073
11/2015,86965.3756757688
12/2015,81924.90704162704
01/2016,76201.58194676627
02/2016,74405.74117261545
03/2016,76682.66590128352
04/2016,77867.32064931134
05/2016,79029.9083776381
06/2016,74462.0248916564
07/2016,78695.26952639714
08/2016,79295.67888415184
09/2016,79806.74887293897
10/2016,80419.38298891732
11/2016,79841.68753295219
12/2016,85647.29605536986
01/2017,85146.71897060056
02/2017,87198.59406953011
03/2017,91692.33318247164
04/2017,93388.64504075816
05/2017,95395.86984162938
06/2017,92720.90511486468
07/2017,93566.65014914624
08/2017,93129.83164061664
09/2017,96861.95556205852
10/2017,99167.5618146698
11/2017,97649.66429246038
12/2017,96290.26859253288
01/2018,99210.08029882812
02/2018,95323.04361334573
03/2018,93269.91106893626
04/2018,98009.55217931575
05/2018,96363.44462819368
06/2018,95863.93637969554
07/2018,98726.44784528586
08/2018,96253.9294070602
09/2018,96430.48573349995
10/2018,89996.03690052191
11/2018,88832.66858139842
12/2018,83713.50668430832
01/2019,89006.01470642396
02/2019,92375.54155266678
03/2019,93768.7091479694
04/2019,98543.86145452748
05/2019,92760.21385045644
06/2019,97621.47689280442
07/2019,97533.50102616682
08/2019,96268.06422162271
09/2019,100171.40711937143
10/2019,101267.6018669412
11/2019,104337.9287359325
12/2019,104996.91819861776
01/2020,103537.24123438618
02/2020,95131.81345112552
03/2020,78813.49777910435
04/2020,84386.08348873854
05/2020,87649.49634809518
06/2020,92304.12982846954
07/2020,90545.3407598257
08/2020,94053.41469796895
09/2020,92325.46527002376
10/2020,86654.12772293719
11/2020,101738.53417671418
12/2020,103587.71072160524
01/2021,102608.7444934304
02/2021,106320.021568113
03/2021,113431.3037047092
04/2021,115170.1997705786
05/2021,118698.03659453426
06/2021,119435.17663397046
07/2021,120911.66763089002
08/2021,123905.18069025814
09/2021,120125.97041594652
10/2021,124150.04755503124
11/2021,119669.03927769946
12/2021,127270.8862668716
01/2022,122920.53441328264
02/2022,116255.56857030212
03/2022,115354.53466330274
04/2022,112957.96341762408
05/2022,113474.96237001145
06/2022,103694.2879718076
07/2022,110530.16034465464
08/2022,105558.84839921996
09/2022,98826.47887573043
10/2022,105786.48485329685
11/2022,114083.98700169093
12/2022,110880.75478234224
01/2023,121772.67866193918
02/2023,123291.60305630066
03/2023,124192.64087398456
04/2023,126811.53271195103
05/2023,122763.67763578011
06/2023,128199.29596415228
07/2023,130146.47224431067
08/2023,125930.9613906587
09/2023,121967.72260508992
10/2023,117502.46791620908
11/2023,127149.56872048289
12/2023,131425.6101928687
01/2024,134622.78532864552
02/2024,138689.2658517105
03/2024,144753.20844241977
04/2024,141769.63373392206
05/2024,146017.64120148137
06/2024,142500.10673780245
07/2024,142991.3170333481
08/2024,145316.37909893104
09/2024,146740.8889560135
10/2024,141763.2912944839
11/2024,141894.28070662942
12/2024,143515.2746819302
01/2025,154567.50633170805
02/2025,159643.34605234675
03/2025,154993.22192118096
04/2025,155238.8270689538
05/2025,164678.25158169
06/2025,163278.3022393848
07/2025,164964.79092075833
08/2025,165496.93540759946
09/2025,169795.02549362418
10/2025,174256.8523448308
